Date,Clicks,Impressions,CTR,Position
2026-06-02,32,997,3.21%,22.7
2026-06-03,54,912,5.92%,16.9
2026-06-04,47,1085,4.33%,17.4
2026-06-05,34,989,3.44%,13.7
2026-06-06,50,1216,4.11%,16.4
2026-06-07,41,1097,3.74%,13.1
2026-06-08,46,1590,2.89%,12.5
2026-06-09,41,1362,3.01%,10.9
2026-06-10,35,1428,2.45%,10.4
2026-06-11,41,1478,2.77%,10.7
2026-06-12,46,1185,3.88%,10
2026-06-13,35,1058,3.31%,9.8
2026-06-14,32,1071,2.99%,12.8
2026-06-15,31,1228,2.52%,14.1
2026-06-16,53,1300,4.08%,12.9
2026-06-17,54,1367,3.95%,14
2026-06-18,40,1887,2.12%,23.7
2026-06-19,40,1849,2.16%,22.9
2026-06-20,48,1176,4.08%,15.5
2026-06-21,41,1211,3.39%,14.4
2026-06-22,57,1340,4.25%,11.8
2026-06-23,52,1496,3.48%,17.7
2026-06-24,58,1835,3.16%,20.5
2026-06-25,54,1589,3.4%,15.8
2026-06-26,46,1674,2.75%,12.6
2026-06-27,45,1799,2.5%,20.7
2026-06-28,54,1467,3.68%,13.2
2026-06-29,51,1244,4.1%,10.4
2026-06-30,51,1358,3.76%,13.4
2026-07-01,50,1534,3.26%,14.4
2026-07-02,49,1389,3.53%,13
2026-07-03,53,1046,5.07%,11.8
2026-07-04,42,1201,3.5%,12.1
2026-07-05,57,1216,4.69%,11.9
2026-07-06,53,1354,3.91%,12.2
2026-07-07,49,2167,2.26%,16
2026-07-08,49,1391,3.52%,11.6
2026-07-09,53,1439,3.68%,12.3
2026-07-10,47,1362,3.45%,12.9
2026-07-11,53,1674,3.17%,14.9
2026-07-12,50,1872,2.67%,14.2
2026-07-13,61,1966,3.1%,13.7
2026-07-14,52,2088,2.49%,13.7
2026-07-15,47,1844,2.55%,15.2
2026-07-16,49,1653,2.96%,14
2026-07-17,46,1647,2.79%,13.7
2026-07-18,53,1532,3.46%,12.4
2026-07-19,36,1586,2.27%,12.5
2026-07-20,37,2302,1.61%,19.3
2026-07-21,48,2565,1.87%,19.7
2026-07-22,44,1958,2.25%,14.6
2026-07-23,57,1814,3.14%,12.9
2026-07-24,48,1722,2.79%,13
2026-07-25,45,2145,2.1%,18.2
2026-07-26,72,2101,3.43%,19.9
2026-07-27,52,1946,2.67%,15.6
2026-07-28,42,1807,2.32%,15
2026-07-29,53,1996,2.66%,12.3
2026-07-30,65,2029,3.2%,12.3
2026-07-31,52,2199,2.36%,16.8
2026-08-01,49,1890,2.59%,14.6
2026-08-02,45,2009,2.24%,14.4
2026-08-03,60,2542,2.36%,13.1
2026-08-04,53,1875,2.83%,9.8
2026-08-05,48,2027,2.37%,11.8
2026-08-06,41,2655,1.54%,13.9
2026-08-07,53,1671,3.17%,9.9
2026-08-08,45,1637,2.75%,9
2026-08-09,59,2011,2.93%,11.7
2026-08-10,49,2594,1.89%,14
2026-08-11,55,2432,2.26%,12
2026-08-12,43,2889,1.49%,12.3
2026-08-13,61,5006,1.22%,16.8
2026-08-14,51,3814,1.34%,14.7
2026-08-15,37,2752,1.34%,15.7
2026-08-16,46,2872,1.6%,11.8
2026-08-17,63,3631,1.74%,12.1
2026-08-18,61,2810,2.17%,10.9
2026-08-19,63,2697,2.34%,12.1
2026-08-20,49,2411,2.03%,13
2026-08-21,56,2407,2.33%,11.7
2026-08-22,52,2129,2.44%,10.9
2026-08-23,58,2871,2.02%,11.8
2026-08-24,71,2845,2.5%,12.3
2026-08-25,44,2909,1.51%,13.7
2026-08-26,66,2772,2.38%,12.3
2026-08-27,58,2909,1.99%,12.3
2026-08-28,47,2672,1.76%,12.3
2026-08-29,52,2519,2.06%,11.5
2026-08-30,46,2625,1.75%,12.5
2026-08-31,58,2958,1.96%,11.3
2026-09-01,63,3465,1.82%,8.8
