Country,Clicks,Impressions,CTR,Position
United States,1901,75477,2.52%,15.29
United Kingdom,440,17543,2.51%,21.34
India,334,8650,3.86%,10.3
Canada,247,7150,3.45%,16.67
Australia,160,5459,2.93%,15.28
Netherlands,89,3114,2.86%,8.94
Germany,84,3386,2.48%,7.5
Italy,74,2155,3.43%,9.55
Indonesia,70,3930,1.78%,9.79
Brazil,54,1523,3.55%,8.32
Romania,50,779,6.42%,7.25
France,48,1600,3%,8.63
Philippines,43,3561,1.21%,12.95
Spain,40,1290,3.1%,10.4
Turkey,35,774,4.52%,16.97
Pakistan,33,1255,2.63%,11.29
Singapore,30,1686,1.78%,14.61
Mexico,29,1335,2.17%,10.85
Thailand,29,1078,2.69%,12.41
Poland,28,1030,2.72%,7.07
Vietnam,26,1701,1.53%,19.49
Japan,26,1344,1.93%,6.38
Hungary,26,392,6.63%,7.69
South Korea,24,1242,1.93%,6.68
Switzerland,24,553,4.34%,6.84
Denmark,24,498,4.82%,7.29
Ireland,23,1358,1.69%,10.45
Saudi Arabia,23,1005,2.29%,10.23
Sweden,21,694,3.03%,7.35
New Zealand,19,1258,1.51%,11.47
Greece,19,666,2.85%,7.21
Iran,19,435,4.37%,6.52
Belgium,18,664,2.71%,7.74
Portugal,18,473,3.81%,7.57
Israel,17,616,2.76%,9.12
Malaysia,16,1321,1.21%,13.19
South Africa,16,1263,1.27%,13.44
Russia,16,740,2.16%,12.16
Taiwan,15,513,2.92%,6.55
Nepal,15,248,6.05%,8.31
Austria,14,352,3.98%,6.93
Hong Kong,13,759,1.71%,7.83
Czechia,13,423,3.07%,7.53
Chile,12,279,4.3%,5.97
Norway,11,476,2.31%,8.47
Finland,11,422,2.61%,7.81
Bangladesh,10,607,1.65%,16.94
Argentina,10,448,2.23%,9.3
United Arab Emirates,9,1660,0.54%,9.29
Morocco,9,534,1.69%,15.42
Ukraine,9,448,2.01%,11.76
Colombia,9,320,2.81%,10.36
Sri Lanka,9,310,2.9%,6.39
Peru,9,274,3.28%,6.84
Croatia,8,292,2.74%,7.11
Guyana,8,61,13.11%,7.25
Egypt,7,980,0.71%,8.43
Slovakia,7,179,3.91%,7.81
Bulgaria,6,307,1.95%,6.59
Serbia,6,217,2.76%,6.4
Ghana,6,169,3.55%,8.85
Costa Rica,6,134,4.48%,7.62
Kenya,5,954,0.52%,8.84
Latvia,5,115,4.35%,8.16
Albania,5,84,5.95%,7.88
Guatemala,5,73,6.85%,8.89
Nigeria,4,569,0.7%,8.62
Iraq,4,411,0.97%,10.63
Lithuania,4,171,2.34%,8.31
Puerto Rico,4,158,2.53%,6.64
Georgia,4,106,3.77%,6.69
Slovenia,4,99,4.04%,8.05
Myanmar (Burma),4,91,4.4%,10.03
Jordan,3,430,0.7%,15.11
China,3,306,0.98%,7.66
Jamaica,3,195,1.54%,7.99
Lebanon,3,190,1.58%,6.99
Trinidad & Tobago,3,163,1.84%,8.28
Ethiopia,3,142,2.11%,8.77
Estonia,3,111,2.7%,11.34
Venezuela,3,109,2.75%,8.93
Zimbabwe,3,87,3.45%,7.59
Honduras,3,55,5.45%,8.05
Kuwait,2,174,1.15%,8.05
Uganda,2,131,1.53%,6.83
Ecuador,2,131,1.53%,9.7
Tunisia,2,130,1.54%,7.08
Cyprus,2,130,1.54%,8.75
Barbados,2,128,1.56%,8.04
Sudan,2,123,1.63%,7.1
Kazakhstan,2,119,1.68%,7.5
Dominican Republic,2,115,1.74%,9.2
Cambodia,2,112,1.79%,8.69
Oman,2,87,2.3%,8.95
Uruguay,2,79,2.53%,9.61
Bosnia & Herzegovina,2,78,2.56%,7.54
Belarus,2,65,3.08%,7.52
Libya,2,62,3.23%,7.48
Zambia,2,61,3.28%,9.31
El Salvador,2,59,3.39%,8.58
Mauritius,2,58,3.45%,7.26
Somalia,2,48,4.17%,5.58
Jersey,2,35,5.71%,7.17
Guernsey,2,22,9.09%,7.23
Liberia,2,12,16.67%,5.17
Congo - Kinshasa,2,11,18.18%,7.64
Algeria,1,411,0.24%,13.34
Qatar,1,153,0.65%,8.65
Tanzania,1,121,0.83%,6.86
Iceland,1,88,1.14%,13.55
Bahrain,1,82,1.22%,9.83
Azerbaijan,1,70,1.43%,8.41
Macedonia,1,66,1.52%,7.23
Luxembourg,1,62,1.61%,13.55
Yemen,1,61,1.64%,6.97
Paraguay,1,56,1.79%,9.98
Armenia,1,47,2.13%,6.57
Maldives,1,45,2.22%,7.8
Botswana,1,38,2.63%,7.68
Cameroon,1,33,3.03%,6.58
Isle of Man,1,31,3.23%,6.87
St. Lucia,1,29,3.45%,7.14
Mongolia,1,28,3.57%,9.14
Antigua & Barbuda,1,28,3.57%,10
Nicaragua,1,26,3.85%,9.62
Bhutan,1,16,6.25%,8.94
Curaçao,1,10,10%,5.8
Seychelles,1,10,10%,7.5
Cayman Islands,1,7,14.29%,8.71
Sierra Leone,1,6,16.67%,4.33
Gambia,1,5,20%,7.4
New Caledonia,1,3,33.33%,1.33
Syria,0,231,0%,6.53
Palestine,0,106,0%,8.63
Malta,0,96,0%,7.31
Bahamas,0,77,0%,7.36
Panama,0,67,0%,7.04
Bolivia,0,63,0%,13.76
Brunei,0,62,0%,6.53
Guam,0,55,0%,7.49
Uzbekistan,0,46,0%,10.26
Montenegro,0,36,0%,5.42
Moldova,0,30,0%,6.8
Fiji,0,30,0%,8.47
Malawi,0,28,0%,7.61
Angola,0,27,0%,13.67
Kosovo,0,26,0%,6.62
Belize,0,26,0%,8.31
Rwanda,0,25,0%,5.16
Senegal,0,25,0%,9.12
Namibia,0,25,0%,13.04
Aruba,0,22,0%,10.14
Papua New Guinea,0,21,0%,6.1
St. Kitts & Nevis,0,21,0%,6.86
Swaziland,0,20,0%,6.9
Suriname,0,19,0%,7.58
Kyrgyzstan,0,19,0%,8.16
Grenada,0,18,0%,8.78
Sint Maarten,0,17,0%,7.71
Côte d’Ivoire,0,17,0%,17.18
U.S. Virgin Islands,0,16,0%,7.94
Afghanistan,0,15,0%,6.87
Lesotho,0,15,0%,6.93
Gibraltar,0,15,0%,7.73
Madagascar,0,14,0%,6
Congo - Brazzaville,0,14,0%,11.57
South Sudan,0,13,0%,7.38
Macau,0,12,0%,7.83
Réunion,0,11,0%,3.18
Laos,0,11,0%,5
Turkmenistan,0,10,0%,6.2
St. Vincent & Grenadines,0,10,0%,6.5
Benin,0,10,0%,7
Mozambique,0,10,0%,7
Unknown Region,0,9,0%,9.11
Gabon,0,9,0%,23.78
Haiti,0,8,0%,5.62
Burkina Faso,0,8,0%,21.38
Cape Verde,0,7,0%,5.29
Cuba,0,7,0%,6.14
Turks & Caicos Islands,0,7,0%,7.14
Greenland,0,7,0%,8.71
Faroe Islands,0,7,0%,8.86
Tajikistan,0,6,0%,6
Northern Mariana Islands,0,6,0%,6.5
Martinique,0,6,0%,7.17
Dominica,0,6,0%,8.83
Andorra,0,6,0%,11.33
Western Sahara,0,6,0%,15.67
Caribbean Netherlands,0,5,0%,5.8
Bermuda,0,5,0%,7.8
Mauritania,0,5,0%,8
Togo,0,5,0%,9.4
Palau,0,5,0%,10.6
Guadeloupe,0,4,0%,16.5
Liechtenstein,0,4,0%,58
Timor-Leste,0,3,0%,6.67
Vanuatu,0,3,0%,11.33
Cook Islands,0,2,0%,4
Chad,0,2,0%,5.5
Åland Islands,0,2,0%,6
San Marino,0,2,0%,6
Marshall Islands,0,2,0%,7.5
Samoa,0,2,0%,9
Falkland Islands (Islas Malvinas),0,2,0%,9.5
Monaco,0,2,0%,10
Nauru,0,2,0%,11
French Polynesia,0,2,0%,14.5
Eritrea,0,1,0%,1
French Guiana,0,1,0%,1
St. Martin,0,1,0%,1
Niger,0,1,0%,1
Svalbard & Jan Mayen,0,1,0%,1
Solomon Islands,0,1,0%,1
British Virgin Islands,0,1,0%,2
Comoros,0,1,0%,7
Djibouti,0,1,0%,9
Equatorial Guinea,0,1,0%,12
Mayotte,0,1,0%,21
Guinea,0,1,0%,24
North Korea,0,1,0%,48
